feature,importance,coefficient,type
feature_1002,0.30730631212701165,0.30730631212701165,abs_coefficient
feature_4764,0.23482996232044248,0.23482996232044248,abs_coefficient
feature_6333,0.23158159236295728,0.23158159236295728,abs_coefficient
feature_0419,0.2142949632328363,0.2142949632328363,abs_coefficient
feature_2626,0.19608572304008598,0.19608572304008598,abs_coefficient
feature_4858,0.19572945006382472,0.19572945006382472,abs_coefficient
feature_0124,0.19154096611481908,-0.19154096611481908,abs_coefficient
feature_0659,0.18925883857417553,-0.18925883857417553,abs_coefficient
feature_2446,0.18885446618397222,0.18885446618397222,abs_coefficient
feature_3136,0.17773402297413174,0.17773402297413174,abs_coefficient
feature_4904,0.16874440047849595,0.16874440047849595,abs_coefficient
feature_0456,0.15760948280072604,0.15760948280072604,abs_coefficient
feature_6568,0.1545847067266094,0.1545847067266094,abs_coefficient
feature_2762,0.14975311502769498,-0.14975311502769498,abs_coefficient
feature_6105,0.1486366070907089,0.1486366070907089,abs_coefficient
feature_5675,0.14154754636941652,-0.14154754636941652,abs_coefficient
feature_2063,0.13874265228001434,0.13874265228001434,abs_coefficient
feature_3477,0.1376857172627347,0.1376857172627347,abs_coefficient
feature_1778,0.12024845616648872,0.12024845616648872,abs_coefficient
feature_6104,0.11820605048935065,0.11820605048935065,abs_coefficient
feature_0071,0.1160625982065472,0.1160625982065472,abs_coefficient
feature_3549,0.108794746739117,0.108794746739117,abs_coefficient
feature_2761,0.10742458863860324,0.10742458863860324,abs_coefficient
feature_5685,0.10662510354582909,-0.10662510354582909,abs_coefficient
feature_6156,0.10602020775395059,0.10602020775395059,abs_coefficient
feature_4251,0.10276074193926243,0.10276074193926243,abs_coefficient
feature_2960,0.10157644507941514,0.10157644507941514,abs_coefficient
feature_1409,0.09980933317072949,-0.09980933317072949,abs_coefficient
feature_1542,0.09544866639768497,0.09544866639768497,abs_coefficient
feature_3407,0.09091736642681243,-0.09091736642681243,abs_coefficient
feature_1399,0.09007765453447596,0.09007765453447596,abs_coefficient
feature_1065,0.08579863373873703,0.08579863373873703,abs_coefficient
feature_1453,0.08367302853485546,0.08367302853485546,abs_coefficient
feature_5654,0.08249683085638182,-0.08249683085638182,abs_coefficient
feature_0595,0.08107820391089847,0.08107820391089847,abs_coefficient
feature_0112,0.08092604919651288,-0.08092604919651288,abs_coefficient
feature_3800,0.08084124991058925,0.08084124991058925,abs_coefficient
feature_1705,0.08026658702334323,-0.08026658702334323,abs_coefficient
feature_2840,0.0796460451645102,-0.0796460451645102,abs_coefficient
feature_5423,0.07842913255012648,0.07842913255012648,abs_coefficient
feature_3251,0.0781171916614717,0.0781171916614717,abs_coefficient
feature_6419,0.07387376600794604,-0.07387376600794604,abs_coefficient
feature_4371,0.07340468338687993,-0.07340468338687993,abs_coefficient
feature_2166,0.07303880024031253,-0.07303880024031253,abs_coefficient
feature_1139,0.07289184552028902,-0.07289184552028902,abs_coefficient
feature_2569,0.07220141904709652,0.07220141904709652,abs_coefficient
feature_0858,0.06970321922461056,0.06970321922461056,abs_coefficient
feature_0368,0.06864302985472817,-0.06864302985472817,abs_coefficient
feature_2831,0.06717746070350678,-0.06717746070350678,abs_coefficient
feature_6587,0.06716799236587678,0.06716799236587678,abs_coefficient
feature_0054,0.06578377893661108,0.06578377893661108,abs_coefficient
feature_5201,0.06395408519983728,-0.06395408519983728,abs_coefficient
feature_2225,0.06381029768503638,-0.06381029768503638,abs_coefficient
feature_5848,0.0635117836579534,-0.0635117836579534,abs_coefficient
feature_1311,0.06235120465313784,0.06235120465313784,abs_coefficient
feature_5493,0.061330503791369013,0.061330503791369013,abs_coefficient
feature_3433,0.06018107987793839,0.06018107987793839,abs_coefficient
feature_0362,0.06015568912767348,-0.06015568912767348,abs_coefficient
feature_3113,0.059046668871471183,0.059046668871471183,abs_coefficient
